Time (s),Spleen (a.u.),Liver (a.u.)
0.000000,4.33394,5.19392
57.0000,4.40207,5.07063
114.000,4.40058,5.06979
171.000,4.33603,5.36819
228.000,4.35748,5.35435
285.000,6.36044,7.93009
342.000,5.71625,7.76632
399.000,4.88281,7.97703
456.000,5.48995,7.38169
513.000,5.29154,8.09228
570.000,4.94913,8.13718
627.000,4.80507,7.98153
684.000,5.22289,7.18531
741.000,4.88132,7.66578
798.000,5.02922,7.46201
855.000,4.94125,8.01569
912.000,4.87326,7.09612
969.000,4.74703,7.34461
1026.00,4.65627,6.90087
1083.00,5.02237,7.23086
1140.00,5.03447,7.10047
1197.00,5.74217,6.53816
1254.00,5.22358,7.04068
1311.00,5.26668,6.28840
1368.00,4.75159,6.43999
1425.00,5.26298,6.80244
1482.00,5.26238,6.71219
1539.00,5.04032,6.52440
1596.00,4.92106,6.62066
1653.00,4.59723,6.45116
