Time,Liver,Spleen,Blood
0,4.73,3.03,7.06
57,4.75,2.92,7.31
114,4.72,3.02,6.38
171,4.63,3,7.06
228,4.69,3.14,7.08
285,7.45,5.35,10.93
342,10.22,3.81,9.25
399,10.29,3.47,9.16
456,10.39,3.38,9.23
513,10.41,3.19,8.95
570,10.13,3.21,8.56
627,9.67,3.2,8.92
684,9.79,3.24,8.57
741,9.15,3.38,8.18
798,8.83,3.28,7.95
855,8.8,3.09,7.74
912,8.15,3.06,8.2
969,8.04,3.24,8.06
1026,7.96,3.07,8.13
1083,7.58,3.07,8.22
1140,7.47,3.07,8.1
1197,7.09,3.07,7.88
1254,7.08,3.18,7.76
1311,6.9,3.21,7.95
1368,6.86,3.05,7.2
1425,6.59,2.97,7.57
1482,6.37,3.16,7.1
1539,6.33,3.04,7.19
1596,6.11,3.06,7.24
1653,6.07,3.08,7.34
