Time (min),liver (a.u.),spleen (a.u.),HF1-2CFM+3DSPGR model
0.0,1.0,1.0,1.0
0.95,1.0094378613001167,1.015720106877345,1.0110547017249247
1.9,0.9908680864311286,1.0153763088552217,1.018223831026863
2.85,1.065080986690379,1.0004822401786826,1.013010257089049
3.8,1.0041508698040325,1.005431547275689,1.0132170825477693
4.75,1.414779243503978,1.467588383780117,1.3310100489629957
5.7,1.440183640205468,1.3189499623898806,1.4254539144809142
6.65,1.4044718465466373,1.1266445774514644,1.3828790737966528
7.6,1.4874480917628492,1.266734195674144,1.4403792456387956
8.55,1.5377881231448562,1.2209536818691538,1.4503015259479333
9.5,1.4805419032095883,1.1419470504898546,1.4132415081873637
10.45,1.6146740404244622,1.1087070886998895,1.3687183669594891
11.4,1.4631225633768041,1.205113591789457,1.3943204799926159
12.35,1.4568801561585847,1.1263007794293414,1.363150145812436
13.3,1.3740703035681376,1.1604267710212877,1.3630860386774775
14.25,1.4477893934541497,1.1401288435003716,1.349833036022698
15.2,1.3888559880769842,1.1244410397928906,1.3313163919668975
16.15,1.4436242103059655,1.0953151174220224,1.3005125619395
17.1,1.3619683710877604,1.074373433873104,1.2658097436162803
18.05,1.4175560322694343,1.158846223067232,1.293777462967082
19.0,1.3225100595971866,1.1616381398911844,1.3128662269221278
19.95,1.2756499600120947,1.3249306635532563,1.4261450280333847
20.9,1.3283552715151927,1.2052728002695008,1.4291630158560744
21.85,1.26855769798486,1.2152175618490335,1.440719668984095
22.8,1.2740379196269942,1.0963672778118756,1.3798548680147968
23.75,1.3138791130736296,1.2143638352169157,1.4081127830641043
24.7,1.2700570207847648,1.2142253930603562,1.4247588862551883
25.65,1.2770866619313352,1.1629879509176408,1.4068375288038504
26.6,1.2650938687001156,1.1354702649321402,1.3790800656659148
27.55,1.2687562956349667,1.0607507256676372,1.3534620317921449
